Informe Resumido;;;
Tipo : Acciones;;;
Pais: EEUU;;;
Fecha de creación : 28/12/2021;;;
;;;
Nombre;Ref.;Recomendación;URL
Tesla Inc;TSLA;Vender;https://es.investing.com/equities/tesla-motors
NVIDIA Corporation;NVDA;Vender;https://es.investing.com/equities/nvidia-corp
Berkshire Hathaway Inc Class A;BRKa;Comprar;https://es.investing.com/equities/berkshire-hathaway-inc
Accenture plc;ACN;Comprar;https://es.investing.com/equities/accenture-ltd
Costco Wholesale Corp;COST;Vender;https://es.investing.com/equities/costco-whsl-corp-new
Nextera Energy Inc;NEE;Vender;https://es.investing.com/equities/nextera-energy-inc
Shopify Inc;SHOP;Vender;https://es.investing.com/equities/shopify-inc
Diageo PLC ADR;DEO;Vender;https://es.investing.com/equities/diageo-plc
TotalEnergies SE ADR;TTE;Comprar;https://es.investing.com/equities/total-s.a.
Moderna Inc;MRNA;Comprar;https://es.investing.com/equities/moderna
HDFC Bank Limited ADR;HDB;Vender;https://es.investing.com/equities/hdfc-bank
Snowflake Inc;SNOW;Vender;https://es.investing.com/equities/snowflake-inc
Airbnb Inc;ABNB;Vender;https://es.investing.com/equities/airbnb-inc
Rivian Automotive Inc;RIVN;Vender;https://es.investing.com/equities/rivian-automotive
Petroleo Brasileiro Petrobras SA ADR;PBR;Comprar;https://es.investing.com/equities/petroleo-bras
Public Storage;PSA;Vender;https://es.investing.com/equities/public-stg-mld
Dominion Energy Inc;D;Vender;https://es.investing.com/equities/dominion-res
Monster Beverage Corp;MNST;Vender;https://es.investing.com/equities/monster-beverage
Nu Holdings Ltd;NU;Vender;https://es.investing.com/equities/nu-holdings
